,image_id,desc
71,1019604187_d087bf9a5f,startseq white dog is about to catch yellow ball in its mouth endseq
72,1019604187_d087bf9a5f,startseq white dog is about to catch yellow dog toy endseq
73,1019604187_d087bf9a5f,startseq white dog is ready to catch yellow ball flying through the air endseq
74,1019604187_d087bf9a5f,startseq white dog running after yellow ball endseq
75,1020651753_06077ec457,startseq black and white dog jumping in the air to get toy endseq
76,1020651753_06077ec457,startseq black and white dog jumps up towards yellow toy endseq
77,1020651753_06077ec457,startseq dog leaps to catch ball in field endseq
78,1020651753_06077ec457,startseq white dog is trying to catch ball in midair over grassy field endseq
79,1020651753_06077ec457,startseq the white dog is playing in green field with yellow toy endseq
80,1022454332_6af2c1449a,startseq child and woman are at waters edge in big city endseq
81,1022454332_6af2c1449a,startseq large lake with lone duck swimming in it with several people around the edge of it endseq
82,1022454332_6af2c1449a,startseq little boy at lake watching duck endseq
83,1022454332_6af2c1449a,startseq young boy waves his hand at the duck in the water surrounded by green park endseq
84,1022454332_6af2c1449a,startseq two people are at the edge of lake facing the water and the city skyline endseq
85,1022454428_b6b660a67b,startseq couple and an infant being held by the male sitting next to pond with near by stroller endseq
86,1022454428_b6b660a67b,startseq couple sit on the grass with baby and stroller endseq
87,1022454428_b6b660a67b,startseq couple with their newborn baby sitting under tree facing lake endseq
88,1022454428_b6b660a67b,startseq man and woman care for an infant along the side of body of water endseq
89,1022454428_b6b660a67b,startseq couple with baby sit outdoors next to their stroller endseq
90,1022975728_75515238d8,startseq black dog running in the surf endseq
91,1022975728_75515238d8,startseq black lab with tags frolicks in the water endseq
92,1022975728_75515238d8,startseq dog splashes in the water endseq
93,1022975728_75515238d8,startseq the black dog runs through the water endseq
94,1022975728_75515238d8,startseq this is black dog splashing in the water endseq
95,102351840_323e3de834,startseq man drilling hole in the ice endseq
96,102351840_323e3de834,startseq man is drilling through the frozen ice of pond endseq
97,102351840_323e3de834,startseq person in the snow drilling hole in the ice endseq
98,102351840_323e3de834,startseq person standing on frozen lake endseq
99,102351840_323e3de834,startseq two men are ice fishing endseq
100,1024138940_f1fefbdce1,startseq two different breeds of brown and white dogs play on the beach endseq
101,1024138940_f1fefbdce1,startseq two dogs are making turn on soft sand beach endseq
102,1024138940_f1fefbdce1,startseq two dogs playing in the sand at the beach endseq
103,1024138940_f1fefbdce1,startseq two dogs playing together on beach endseq
104,1024138940_f1fefbdce1,startseq two large tan dogs play along sandy beach endseq
105,102455176_5f8ead62d5,startseq man uses ice picks and crampons to scale ice endseq
106,102455176_5f8ead62d5,startseq an ice climber in blue jacket and black pants is scaling frozen ice wall endseq
107,102455176_5f8ead62d5,startseq an ice climber scaling frozen waterfall endseq
108,102455176_5f8ead62d5,startseq person in blue and red ice climbing with two picks endseq
109,102455176_5f8ead62d5,startseq climber climbing an ice wall endseq
110,1026685415_0431cbf574,startseq black dog carries green toy in his mouth as he walks through the grass endseq
111,1026685415_0431cbf574,startseq black dog carrying something through the grass endseq
112,1026685415_0431cbf574,startseq black dog has blue toy in its mouth endseq
113,1026685415_0431cbf574,startseq dog in grass with blue item in his mouth endseq
114,1026685415_0431cbf574,startseq wet black dog is carrying green toy through the grass endseq
115,1028205764_7e8df9a2ea,startseq man and baby are in yellow kayak on water endseq
116,1028205764_7e8df9a2ea,startseq man and little boy in blue life jackets are rowing yellow canoe endseq
117,1028205764_7e8df9a2ea,startseq man and child kayak through gentle waters endseq
118,1028205764_7e8df9a2ea,startseq man and young boy ride in yellow kayak endseq
119,1028205764_7e8df9a2ea,startseq man and child in yellow kayak endseq
120,1030985833_b0902ea560,startseq black dog and brown dog are jumping up to catch red toy endseq
121,1030985833_b0902ea560,startseq black dog and brown dog play with red toy on courtyard endseq
122,1030985833_b0902ea560,startseq brown and black lab are outside and the black lab is catching toy in its mouth endseq
123,1030985833_b0902ea560,startseq black dog snaps at red and black object as brown dog lunges endseq
124,1030985833_b0902ea560,startseq the chocolate lab jumps too late to get the toy as the black lab captures it in the driveway endseq
125,103106960_e8a41d64f8,startseq boy with stick kneeling in front of goalie net endseq
126,103106960_e8a41d64f8,startseq child in red jacket playing street hockey guarding goal endseq
127,103106960_e8a41d64f8,startseq young kid playing the goalie in hockey rink endseq
128,103106960_e8a41d64f8,startseq young male kneeling in front of hockey goal with hockey stick in his right hand endseq
129,103106960_e8a41d64f8,startseq hockey goalie boy in red jacket crouches by goal with stick endseq
130,103195344_5d2dc613a3,startseq man in black is sitting next to modern art structure in front of glass building endseq
131,103195344_5d2dc613a3,startseq man sits and reads newspaper by sculpture outside of an office building endseq
132,103195344_5d2dc613a3,startseq man sits near large statue endseq
133,103195344_5d2dc613a3,startseq man sitting in front of metal sculpture in front of building endseq
134,103195344_5d2dc613a3,startseq the man with the backpack is sitting in buildings courtyard in front of an art sculpture reading endseq
135,103205630_682ca7285b,startseq tent is being set up on the ice endseq
136,103205630_682ca7285b,startseq two men are about to enter an ice fishing tent on snow covered lake endseq
137,103205630_682ca7285b,startseq two men setting up blue ice fishing hut on an iced over lake endseq
138,103205630_682ca7285b,startseq two men standing on an ice looking into something covered with blue tarp endseq
139,103205630_682ca7285b,startseq two people standing outside blue tent structure on snowy surface endseq
140,1032122270_ea6f0beedb,startseq woman crouches near three dogs in field endseq
141,1032122270_ea6f0beedb,startseq three dogs are playing on grassy hill with blue sky endseq
142,1032122270_ea6f0beedb,startseq three dogs are standing in the grass and person is sitting next to them endseq
143,1032122270_ea6f0beedb,startseq three dogs on grassy hill endseq
144,1032122270_ea6f0beedb,startseq three dogs stand in grassy field while person kneels nearby endseq
145,1032460886_4a598ed535,startseq man is standing in front of skyscraper endseq
146,1032460886_4a598ed535,startseq man stands in front of skyscraper endseq
147,1032460886_4a598ed535,startseq man stands in front of very tall building endseq
148,1032460886_4a598ed535,startseq behind the man in red shirt stands large skyscraper endseq
149,1032460886_4a598ed535,startseq there is skyscraper in the distance with man walking in front of the camera endseq
150,1034276567_49bb87c51c,startseq boy bites hard into treat while he sits outside endseq
151,1034276567_49bb87c51c,startseq child biting into baked good endseq
152,1034276567_49bb87c51c,startseq small boy putting something in his mouth with both hands endseq
153,1034276567_49bb87c51c,startseq the boy eats his food outside at the table endseq
154,1034276567_49bb87c51c,startseq the boy is eating pizza over tin dish endseq
155,104136873_5b5d41be75,startseq people sit on the mountainside and check out the view endseq
156,104136873_5b5d41be75,startseq three people are on hilltop overlooking green valley endseq
157,104136873_5b5d41be75,startseq three people hang out on top of big hill endseq
158,104136873_5b5d41be75,startseq three people overlook green valley endseq
159,104136873_5b5d41be75,startseq three people rest on ledge above the moutains endseq
160,1042020065_fb3d3ba5ba,startseq boy in green shirt is looking down at many inflatable boats endseq
161,1042020065_fb3d3ba5ba,startseq boy in green shirt watches kayakers endseq
162,1042020065_fb3d3ba5ba,startseq boy looks over railing at the many boats and rafts below in the water endseq
163,1042020065_fb3d3ba5ba,startseq young boy overlooking crowd of inflatable boats endseq
164,1042020065_fb3d3ba5ba,startseq young boy wearing jersey looks down over ledge at many boats in the water endseq
165,1042590306_95dea0916c,startseq man and woman pose for the camera while another man looks on endseq
166,1042590306_95dea0916c,startseq man is holding the hand of woman up to his mouth in front of some buildings while another man looks on endseq
167,1042590306_95dea0916c,startseq multiracial couple posing for picture endseq
168,1042590306_95dea0916c,startseq asian man and blond woman holding hands outdoors man in background watches endseq
169,1042590306_95dea0916c,startseq guy in blue shirt biting hand of girl in black striped jacket while another guy watches endseq
170,1045521051_108ebc19be,startseq person eats takeout while watching small television endseq
171,1045521051_108ebc19be,startseq person sits on the floor and eats in front of television endseq
172,1045521051_108ebc19be,startseq television with picture of girl on it endseq
173,1045521051_108ebc19be,startseq young man sits on the floor by the television with fast food meal in front of him endseq
174,1045521051_108ebc19be,startseq someone is laying in front of the tv eating food endseq
175,1048710776_bb5b0a5c7c,startseq couple of several people sitting on ledge overlooking the beach endseq
176,1048710776_bb5b0a5c7c,startseq group of people sit on wall at the beach endseq
177,1048710776_bb5b0a5c7c,startseq group of teens sit on wall by beach endseq
178,1048710776_bb5b0a5c7c,startseq crowd of people at the beach endseq
179,1048710776_bb5b0a5c7c,startseq several young people sitting on rail above crowded beach endseq
180,1052358063_eae6744153,startseq boy takes jump on his skateboard while another boy with skateboard watches endseq
181,1052358063_eae6744153,startseq child is performing skateboard trick while another child with skateboard leans on wall endseq
182,1052358063_eae6744153,startseq little boy skateboarder is doing trick on his board while another young skateboarder watches endseq
183,1052358063_eae6744153,startseq young boy skateboarder jumping on platform on skateboard endseq
184,1052358063_eae6744153,startseq two skateboarders endseq
185,105342180_4d4a40b47f,startseq girl paddling down large river as seen from behind her endseq
186,105342180_4d4a40b47f,startseq woman kayaking down river endseq
187,105342180_4d4a40b47f,startseq woman paddles boat down river endseq
188,105342180_4d4a40b47f,startseq woman with paddle endseq
189,105342180_4d4a40b47f,startseq woman with paddle sits in boat on the water endseq
190,1053804096_ad278b25f1,startseq girl in pigtails splashes in the shallow water endseq
191,1053804096_ad278b25f1,startseq girls plays in the surf endseq
192,1053804096_ad278b25f1,startseq girl with pigtails is playing in the ocean by the beach endseq
193,1053804096_ad278b25f1,startseq girl with pigtails plays in the water endseq
194,1053804096_ad278b25f1,startseq young girl in pigtails plays in the water endseq
195,1055623002_8195a43714,startseq group of four children wearing pajamas have pillow fight endseq
196,1055623002_8195a43714,startseq group of kids have pillowfight endseq
197,1055623002_8195a43714,startseq group of young children playing pillow fight on bed endseq
198,1055623002_8195a43714,startseq children having pillow fight endseq
199,1055623002_8195a43714,startseq four children are having pillow fight endseq
200,1055753357_4fa3d8d693,startseq two constructions workers sit on beam taking break endseq
201,1055753357_4fa3d8d693,startseq two construction workers are sitting up on the side of building endseq
202,1055753357_4fa3d8d693,startseq two construction workers sitting on an ibeam endseq
203,1055753357_4fa3d8d693,startseq two construction workers take seat on steel beam endseq
204,1055753357_4fa3d8d693,startseq two men take break from construction endseq
205,1056249424_ef2a2e041c,startseq the children are playing in the water endseq
206,1056249424_ef2a2e041c,startseq two boys one with yellow and orange ball play in some water in front of field endseq
207,1056249424_ef2a2e041c,startseq two boys play in puddle endseq
208,1056249424_ef2a2e041c,startseq two children play with balloon in mud on sunny day endseq
209,1056249424_ef2a2e041c,startseq two kids are running and playing in some water endseq
210,1056338697_4f7d7ce270,startseq blond woman in blue shirt appears to wait for ride endseq
211,1056338697_4f7d7ce270,startseq blond woman is on the street hailing taxi endseq
212,1056338697_4f7d7ce270,startseq woman is signaling is to traffic as seen from behind endseq
213,1056338697_4f7d7ce270,startseq woman with blonde hair wearing blue tube top is waving on the side of the street endseq
214,1056338697_4f7d7ce270,startseq the woman in the blue dress is holding out her arm at oncoming traffic endseq
215,1056359656_662cee0814,startseq little girl looking at brochure on train rides endseq
216,1056359656_662cee0814,startseq young blond girl with magizine in her hands endseq
217,1056359656_662cee0814,startseq young girl on train reads book about train rides endseq
218,1056359656_662cee0814,startseq young girl sits on seat and looks at train pamphlet endseq
219,1056359656_662cee0814,startseq child sitting down looking at train ride brochure endseq
220,1056873310_49c665eb22,startseq brown dog is running after black dog on rocky shore endseq
221,1056873310_49c665eb22,startseq brown dog is running after the black dog endseq
222,1056873310_49c665eb22,startseq two dogs playing on beach endseq
223,1056873310_49c665eb22,startseq two dogs run across stones near body of water endseq
224,1056873310_49c665eb22,startseq two dogs run towards each other on rocky area with water in the background endseq
225,1057089366_ca83da0877,startseq boy descends off the end of high diving board endseq
226,1057089366_ca83da0877,startseq child jumps off high diving board into the pool endseq
227,1057089366_ca83da0877,startseq kid jumps off the diving board and into the swimming pool below endseq
228,1057089366_ca83da0877,startseq little kid is jumping off high dive at the pool endseq
229,1057089366_ca83da0877,startseq the boy is jumping off high diving board into the pool endseq
230,1057210460_09c6f4c6c1,startseq guy stands by window taking his overshirt off endseq
231,1057210460_09c6f4c6c1,startseq man in tank top stands next to chrome door endseq
232,1057210460_09c6f4c6c1,startseq man puts his shirt on near an elevator endseq
233,1057210460_09c6f4c6c1,startseq man stands by an elevator with his head down endseq
234,1057210460_09c6f4c6c1,startseq the man is putting on his shirt near an elevator endseq
235,1057251835_6ded4ada9c,startseq lightcolored dog runs on the beach endseq
236,1057251835_6ded4ada9c,startseq small yellow dog runs on beach endseq
237,1057251835_6ded4ada9c,startseq tan dog runs on sandy beach endseq
238,1057251835_6ded4ada9c,startseq white dog is running down rocky beach endseq
239,1057251835_6ded4ada9c,startseq light brown dog running along the beach endseq
240,106490881_5a2dd9b7bd,startseq boy in his blue swim shorts at the beach endseq
241,106490881_5a2dd9b7bd,startseq boy smiles for the camera at beach endseq
242,106490881_5a2dd9b7bd,startseq young boy in swimming trunks is walking with his arms outstretched on the beach endseq
243,106490881_5a2dd9b7bd,startseq children playing on the beach endseq
244,106490881_5a2dd9b7bd,startseq the boy is playing on the shore of an ocean endseq
245,106514190_bae200f463,startseq hiker standing high on bluff overlooking the mountains below endseq
246,106514190_bae200f463,startseq person on ski looks from hill over snow covered landscape endseq
247,106514190_bae200f463,startseq skier is overlooking snowcovered mountain endseq
248,106514190_bae200f463,startseq skier is overlooking the beautiful white snow covered landscape endseq
249,106514190_bae200f463,startseq skier pauses on mountaintop endseq
250,1067180831_a59dc64344,startseq black and white dog is attempting to catch yellow and purple object in low cut yard endseq
251,1067180831_a59dc64344,startseq black and white dog jumps after yellow toy endseq
252,1067180831_a59dc64344,startseq black and white dog jumps to get the frisbee endseq
253,1067180831_a59dc64344,startseq black dog is jumping up to catch purple and green toy endseq
254,1067180831_a59dc64344,startseq dog jumps to catch toy endseq
255,1067675215_7336a694d6,startseq man in blue shorts is laying in the street endseq
256,1067675215_7336a694d6,startseq man in blue shorts lays down outside in parking lot endseq
257,1067675215_7336a694d6,startseq man laying down in middle of street during heavy traffic endseq
258,1067675215_7336a694d6,startseq man lies on mat in parking lot between brown suv and yellow pickup with an open door endseq
259,1067675215_7336a694d6,startseq shirtless man is laying down in the middle of busy street endseq
260,1067790824_f3cc97239b,startseq white and black dog and brown dog in sandy terrain endseq
261,1067790824_f3cc97239b,startseq woolly dog chases doberman on beach endseq
262,1067790824_f3cc97239b,startseq one dog is chasing another one on the beach endseq
263,1067790824_f3cc97239b,startseq the two large dogs are running through sand endseq
264,1067790824_f3cc97239b,startseq two large dogs chasing each other at the beach endseq
265,1072153132_53d2bb1b60,startseq black and white dog catches toy in midair endseq
266,1072153132_53d2bb1b60,startseq dog and tennis ball endseq
267,1072153132_53d2bb1b60,startseq dog is jumping to catch object thrown at it endseq
268,1072153132_53d2bb1b60,startseq dog leaps while chasing tennis ball through grassy field endseq
269,1072153132_53d2bb1b60,startseq multicolor dog jumping to catch tennis ball in grassy field endseq
270,107318069_e9f2ef32de,startseq crowd watching air balloons at night endseq
271,107318069_e9f2ef32de,startseq group of hot air balloons lit up at night endseq
272,107318069_e9f2ef32de,startseq people are watching hot air balloons in the park endseq
273,107318069_e9f2ef32de,startseq people watching hot air balloons endseq
274,107318069_e9f2ef32de,startseq seven large balloons are lined up at nighttime near crowd endseq
275,1075716537_62105738b4,startseq child with helmet on his head rides bike endseq
276,1075716537_62105738b4,startseq little boy rides bike down hill on miniature dirt bike endseq
277,1075716537_62105738b4,startseq young boy in helmet rides bike on the road endseq
278,1075716537_62105738b4,startseq the little boy rides his bicycle in race endseq
279,1075716537_62105738b4,startseq the young boy pedals quickly at bmx race endseq
280,107582366_d86f2d3347,startseq group of eight people are gathered around table at night endseq
281,107582366_d86f2d3347,startseq group of people gathered around in the dark endseq
282,107582366_d86f2d3347,startseq group of people sit around table outside on porch at night endseq
283,107582366_d86f2d3347,startseq group of people sit outdoors together at night endseq
284,107582366_d86f2d3347,startseq group of people sitting at table in darkened room endseq
285,1075867198_27ca2e7efe,startseq man in brown shirt and dark shorts plays on the beach with his two black dogs endseq
286,1075867198_27ca2e7efe,startseq man in shorts with two black dogs holds ball throwing toy at the beach endseq
287,1075867198_27ca2e7efe,startseq man playing with two black dogs on the beach endseq
288,1075867198_27ca2e7efe,startseq man with two dogs on beach endseq
289,1075867198_27ca2e7efe,startseq man at the beach with two dogs endseq
290,1075881101_d55c46bece,startseq boy cleans the bubbles off his face endseq
291,1075881101_d55c46bece,startseq boy covered in suds has his face wiped clean endseq
292,1075881101_d55c46bece,startseq boy is covered in bubbles endseq
293,1075881101_d55c46bece,startseq child covered in foam is climbing on black inflatable ramp endseq
294,1075881101_d55c46bece,startseq person covered in soapy water is getting cleaned off endseq
295,1077546505_a4f6c4daa9,startseq boy in blue shorts slides down slide into pool endseq
296,1077546505_a4f6c4daa9,startseq boy in blue swimming trunks slides down yellow slide into wading pool with inflatable toys floating in the water endseq
297,1077546505_a4f6c4daa9,startseq boy rides down slide into small backyard pool endseq
298,1077546505_a4f6c4daa9,startseq boy sliding down slide into pool with colorful tubes endseq
299,1077546505_a4f6c4daa9,startseq child is falling off slide onto colored balloons floating on pool of water endseq
300,1077931201_1e0bb83105,startseq man in wetsuit is throwing baby wearing wetsuit up into the air endseq
301,1077931201_1e0bb83105,startseq man in wetsuit is throwing toddler up in the air and is ready to catch him endseq
302,1077931201_1e0bb83105,startseq man in water throwing little boy up in the air and waiting for him to come down so he can catch him endseq
303,1077931201_1e0bb83105,startseq the man is in the pool and throwing small boy into the air endseq
304,1077931201_1e0bb83105,startseq while water droplets fly man throws little boy up in the air endseq
305,1079274291_9aaf896cc1,startseq little boy sticks his tongue out for the camera another boy looks on endseq
306,1079274291_9aaf896cc1,startseq two boys make faces endseq
307,1079274291_9aaf896cc1,startseq two young boys are looking at the camera one smiling the other sticking his tongue out endseq
308,1079274291_9aaf896cc1,startseq two young boys look up at the camera as one sticks out his tongue endseq
309,1079274291_9aaf896cc1,startseq two young boys making silly faces endseq
310,10815824_2997e03d76,startseq blonde horse and blonde girl in black sweatshirt are staring at fire in barrel endseq
311,10815824_2997e03d76,startseq girl and her horse stand by fire endseq
312,10815824_2997e03d76,startseq girl holding horse lead behind fire endseq
313,10815824_2997e03d76,startseq man and girl and two horses are near contained fire endseq
314,10815824_2997e03d76,startseq two people and two horses watching fire endseq
315,1082252566_8c79beef93,startseq bulldog sheep dog and boxer standing in yard endseq
316,1082252566_8c79beef93,startseq large brown dog is pushing small boston terrier with his face while anouther dog watches endseq
317,1082252566_8c79beef93,startseq large skinny dog stands near two smaller dogs int the dirt endseq
318,1082252566_8c79beef93,startseq there are three dogs starring at ball in the middle of them endseq
319,1082252566_8c79beef93,startseq three dogs of various sizes endseq
320,1082379191_ec1e53f996,startseq lady and man with no shirt sit on dock endseq
321,1082379191_ec1e53f996,startseq man and woman are sitting on dock together endseq
322,1082379191_ec1e53f996,startseq man and woman sitting on dock endseq
323,1082379191_ec1e53f996,startseq man and woman sitting on deck next to lake endseq
324,1082379191_ec1e53f996,startseq shirtless man and woman sitting on dock endseq
325,1084040636_97d9633581,startseq closeup of white dog that is laying its head on its paws endseq
326,1084040636_97d9633581,startseq large white dog lying on the floor endseq
327,1084040636_97d9633581,startseq white dog has its head on the ground endseq
328,1084040636_97d9633581,startseq white dog is resting its head on tiled floor with its eyes open endseq
329,1084040636_97d9633581,startseq white dog rests its head on the patio bricks endseq
330,1084104085_3b06223afe,startseq woman in yellow shirt and green shorts is climbing an artificial red wall whilst wearing safety harness endseq
331,1084104085_3b06223afe,startseq woman in blue shorts and white shirt is indoor rock climbing endseq
332,1084104085_3b06223afe,startseq the girl is climbing rock wall endseq
333,1084104085_3b06223afe,startseq the girl is in harness climbing rocks endseq
334,1084104085_3b06223afe,startseq woman climbing an artificial rock wall endseq
335,1087168168_70280d024a,startseq boy is jumping on an inflatable ring and girl is watching him endseq
336,1087168168_70280d024a,startseq boy jumping on water jumphouse endseq
337,1087168168_70280d024a,startseq teenage boy is jumping on an inflatable slide endseq
338,1087168168_70280d024a,startseq young boy jumping and young girl seating in an inflatable pool endseq
339,1087168168_70280d024a,startseq two young kids are playing in the water on an inflated toy endseq
340,1087539207_9f77ab3aaf,startseq family playing on tractor on beautiful day endseq
341,1087539207_9f77ab3aaf,startseq children ride tractor in field endseq
342,1087539207_9f77ab3aaf,startseq several children playing on polaris vehicle outdoors endseq
343,1087539207_9f77ab3aaf,startseq the children played on the four wheeler in the field endseq
344,1087539207_9f77ab3aaf,startseq the four kids are riding on an atv in field endseq
345,1088767354_2acee738cf,startseq woman in red costume to the left of man and woman standing together endseq
346,1088767354_2acee738cf,startseq woman wearing red costume looks at two other people standing on street endseq
347,1088767354_2acee738cf,startseq young woman in red sequined costume and feather stands on the sidewalk endseq
348,1088767354_2acee738cf,startseq the girl in the salmon colored bikini is standing next to two young people one is wearing black outfit and the other is drinking pop endseq
349,1088767354_2acee738cf,startseq two young people are approached by flamboyant young woman dressed in red bikini and red feathered headress endseq
350,108898978_7713be88fc,startseq skiiers walking up the hill through forest endseq
351,108898978_7713be88fc,startseq two men are skiing in the snow in wooded area endseq
352,108898978_7713be88fc,startseq two people wearing yellow jackets crosscountry skiing endseq
353,108898978_7713be88fc,startseq two skiers are making their way through woodland endseq
354,108898978_7713be88fc,startseq two skiers are sliding down trail in the woods endseq
355,108899015_bf36131a57,startseq lone skier is making their way up mountain endseq
356,108899015_bf36131a57,startseq skiiers at the top of snow covered hill endseq
357,108899015_bf36131a57,startseq two hikers climbing snowy hill endseq
358,108899015_bf36131a57,startseq two people are on snowcovered mountain endseq
359,108899015_bf36131a57,startseq two people climbing up snowy mountain endseq
360,1089181217_ee1167f7af,startseq brown dog running down paved pathway endseq
361,1089181217_ee1167f7af,startseq brown dog running next to grass endseq
362,1089181217_ee1167f7af,startseq dog is running down road endseq
363,1089181217_ee1167f7af,startseq light brown dog runs down path happily endseq
364,1089181217_ee1167f7af,startseq energetic brown dog running endseq
365,1089755335_0bfbfd30e6,startseq mother and children is fishing on boardwalk at night endseq
366,1089755335_0bfbfd30e6,startseq woman and three children stand on deck with fishing pole endseq
367,1089755335_0bfbfd30e6,startseq woman stands with children on boardwalk at night overlooking the sea endseq
368,1089755335_0bfbfd30e6,startseq some people on pier at night with one girl fishing off it endseq
369,1089755335_0bfbfd30e6,startseq woman with three children fishing over boardwalk in the evening endseq
370,109202756_b97fcdc62c,startseq woman dressed in blue jacket and blue jeans rides brown horse near frozen lake and snowcovered mountain endseq
371,109202756_b97fcdc62c,startseq woman in blue jacket rides brown pony near water endseq
372,109202756_b97fcdc62c,startseq woman rides horse near frozen lake in the wintertime endseq
373,109202756_b97fcdc62c,startseq young blond woman sitting atop brown draft horse in the snowy mountains endseq
